sample_id,problem,set_type,FAD_m3_h,FRP_m3_h,FVU_m3_h,TRP_s,TED_s,TPR_s,recovery,purity,productivity_mol_h_kg,energy_kJ_kgCO2,log_energy
1489,purity_recovery,front,0.663080698,0.394203528,1.923933708,49.14637694,5.934382132,24.31905449,0.920639648,0.742091812,0.384834023,1154.4752,3.062384608003447
1567,purity_recovery,front,0.535774508,0.38415862,1.743903767,38.34340349,6.823836205,21.72325077,0.925804968,0.653502605,0.304367088,1256.888926,3.0992968998365504
1640,purity_recovery,front,0.639689753,0.420101034,1.94586169,51.72692317,14.03589051,20.6125333,0.874057005,0.793046147,0.386844743,1125.708777,3.051426052237926
7,purity_recovery,near,0.575440115,0.567286631,1.746817607,54.56535217,12.08499745,15.62301305,0.674481743,0.861000959,0.285726474,1488.394273,3.172717990287092
13,purity_recovery,near,0.571621584,0.800991197,1.93470154,54.63784063,6.400751057,22.25936979,0.53491556,0.904467107,0.203610865,2360.024929,3.3729165904573772
20,purity_recovery,near,0.563881172,0.548135145,1.859892471,50.50932297,7.149421612,19.75938893,0.826501518,0.824875392,0.31542107,1413.365508,3.150254488515387
22,purity_recovery,near,0.542906432,0.632558448,1.960307703,48.91154517,9.843433974,22.56330336,0.799871146,0.846691713,0.285127077,1571.576052,3.196335402321307
29,purity_recovery,near,0.598800189,0.705387332,1.973007119,48.86416464,10.77428082,18.44254933,0.637634463,0.87673369,0.265015731,1774.89127,3.2491717532866824
61,purity_recovery,near,0.562668584,0.38081304,1.825784273,53.68551935,13.96956347,17.42895722,0.884093384,0.773780756,0.359451335,1125.520818,3.0513535322631578
63,purity_recovery,near,0.552386078,0.374652266,1.866137959,53.38153412,10.31607904,19.10335415,0.910077646,0.754251995,0.351435708,1171.821502,3.0688614627056974
72,purity_recovery,near,0.713174077,0.685534185,1.980061198,50.0996371,13.98473223,17.62605633,0.562044617,0.884658709,0.285678758,1694.279236,3.228984988438623
76,purity_recovery,near,0.533478011,0.741048976,1.834021096,51.28764836,5.109444128,17.45628285,0.584631108,0.884857826,0.216432151,2137.395476,3.3298848858299865
83,purity_recovery,near,0.696353902,0.360017349,1.840154454,42.01871511,11.04988597,23.67576465,0.910232811,0.704129497,0.398300273,1044.034807,3.0187149778195432
91,purity_recovery,near,0.744836435,0.49361066,1.913780746,45.93288238,6.058769883,21.11967912,0.845357871,0.795057367,0.406899734,1188.19693,3.074888425935146
95,purity_recovery,near,0.789146031,0.464552009,1.833328264,53.27763831,5.054606146,23.37051067,0.843478019,0.814245498,0.431857133,1118.556942,3.048658097477733
115,purity_recovery,near,0.567633865,0.456041752,1.935412289,54.1978695,13.29330734,20.35947065,0.871377074,0.810285373,0.345313397,1237.220993,3.0924472804442265
119,purity_recovery,near,0.518885179,0.544346223,1.627183742,51.42885398,10.35401276,24.29257328,0.817637041,0.825080046,0.276730861,1385.101202,3.1414815061545958
128,purity_recovery,near,0.568165112,0.849847671,1.978401612,46.88828209,13.62113693,23.0515707,0.51779079,0.897279523,0.193591042,2339.618589,3.3691450633102162
132,purity_recovery,near,0.761812261,0.513160492,1.944698,52.18500464,11.25515884,24.00369912,0.804111597,0.837928146,0.403864993,1181.518624,3.072440571704049
151,purity_recovery,near,0.875535704,0.558724879,1.980598997,54.84974851,11.45726113,17.93998537,0.643110209,0.871908127,0.402718198,1310.141063,3.117318058697209
157,purity_recovery,near,0.605100008,0.449793931,1.574720446,53.81171464,5.125408369,24.33342865,0.870711591,0.791162547,0.3388722,1180.252997,3.071975111902623
186,purity_recovery,near,0.719017591,0.770700171,1.906581748,52.81727216,12.99235417,20.33822229,0.432273221,0.904949163,0.215764407,2218.680121,3.3460946921830503
197,purity_recovery,near,0.952868573,0.518075576,1.907779964,54.68732857,11.50212785,20.06738362,0.663279175,0.861901708,0.440718825,1193.427627,3.076796087232543
201,purity_recovery,near,0.668939275,0.395242525,1.979937467,44.78754041,10.64480653,16.44023359,0.873200848,0.748936317,0.409390574,1114.541542,3.0470962604565757
209,purity_recovery,near,0.641520053,0.356890622,1.753949123,52.63893828,11.99636084,24.65070357,0.909819034,0.752253457,0.383962317,1041.861407,3.017809951038041
215,purity_recovery,near,0.672275007,0.639344073,1.948643569,46.55869206,13.78129038,21.26137582,0.706829501,0.85682213,0.319305494,1438.234795,3.157829791366056
221,purity_recovery,near,0.962127581,0.776935476,1.948351719,51.65518951,5.213288244,18.74514202,0.425524676,0.902947605,0.279811755,2032.818462,3.3080985963104728
227,purity_recovery,near,0.706609161,0.838764366,1.668560426,53.58442089,11.49005601,23.98277263,0.273012649,0.912736837,0.128097427,3410.457791,3.5328126789223724
235,purity_recovery,near,0.615323288,0.753130676,1.836140167,50.46526741,6.183690634,20.5461934,0.578242801,0.887075885,0.237275259,1978.152926,3.29625986276707
248,purity_recovery,near,0.942276873,0.752704356,1.800099423,51.40799328,13.61404437,20.90162678,0.355533525,0.901056825,0.230379506,2172.531848,3.336966151661224
252,purity_recovery,near,0.705831215,0.515832157,1.983936212,46.30074807,13.68570531,19.82689742,0.798488308,0.819279254,0.384932012,1205.594132,3.08120112546598
256,purity_recovery,near,0.500403131,0.428965554,1.667609606,52.71496245,9.681221264,16.38741019,0.859176661,0.781749848,0.309429486,1258.031468,3.099691504549498
270,purity_recovery,near,0.516029473,0.523940268,1.797976927,54.31303562,12.98995637,20.10637203,0.813997433,0.83566392,0.29390767,1385.018876,3.1414556923078885
293,purity_recovery,near,0.572809042,0.407146891,1.985410235,53.76814053,7.893475494,15.80574616,0.892657282,0.777894316,0.369851784,1228.858003,3.089501702189652
298,purity_recovery,near,0.984442878,0.801206843,1.946421332,50.63885229,7.072088544,24.28439718,0.452925121,0.903402912,0.285182513,1937.76395,3.2873008720665635
328,purity_recovery,near,0.75632309,0.795029893,1.728935739,52.65960988,5.084433819,18.7553405,0.36475784,0.903961999,0.189233584,2565.953319,3.4092487512263148
357,purity_recovery,near,0.871163401,0.495314093,1.874195722,49.04965864,5.089399424,22.87220241,0.811359261,0.816839759,0.451550419,1124.983189,3.0511460326881945
368,purity_recovery,near,0.627073418,0.61366156,1.951619018,52.10127039,12.09293468,21.16730853,0.7326414,0.864290673,0.31396449,1468.329161,3.166823423959902
376,purity_recovery,near,0.575126736,0.564252044,1.915113535,48.55434945,5.466908933,20.74962729,0.843278583,0.818431022,0.318422513,1446.368411,3.1602789281491255
383,purity_recovery,near,0.645663484,0.667476078,1.784002805,48.16433196,10.39151826,23.61461841,0.685399565,0.862840446,0.286577139,1533.924909,3.1858040998964343
385,purity_recovery,near,0.701472398,0.38153378,1.76936447,52.86368897,5.187761598,18.26203488,0.876818651,0.769126963,0.425176369,1072.187602,3.030270781051835
387,purity_recovery,near,0.533093997,0.35382358,1.678410379,47.18127326,13.09615816,23.49827793,0.91897864,0.706063473,0.320319074,1119.638909,3.0490779823900334
389,purity_recovery,near,0.68716634,0.475432224,1.829456891,48.31366963,9.285523957,23.24835358,0.854942655,0.796870585,0.38035172,1164.409012,3.0661055580229784
423,purity_recovery,near,0.647393973,0.360892758,1.897269663,51.85305416,11.40512833,21.85590442,0.909765611,0.75321897,0.39778683,1071.322806,3.0299203501421013
425,purity_recovery,near,0.583185379,0.353009446,1.839264978,45.45823249,14.01521809,23.60738385,0.921325262,0.706963431,0.349525496,1098.178166,3.0406728048077216
440,purity_recovery,near,0.515764602,0.383256855,1.908855488,47.13832727,5.332972129,19.19562281,0.920641753,0.704288631,0.315923717,1324.752546,3.122134762843992
449,purity_recovery,near,0.782209034,0.354853517,1.982036784,40.84866284,10.29048238,23.32455951,0.908436785,0.705504311,0.443469065,1025.440162,3.0109103228502474
466,purity_recovery,near,0.590590348,0.358886174,1.836806029,53.41393233,12.54161772,22.39428472,0.915522809,0.752114839,0.366807397,1095.228818,3.039504862567243
471,purity_recovery,near,0.591598032,0.385275175,1.895338202,36.65696003,8.874873994,22.40050216,0.924771286,0.657222593,0.333224264,1206.847481,3.081652388286717
489,purity_recovery,near,0.730201068,0.716802116,1.66458314,52.39623674,13.26159426,21.51525056,0.428767414,0.893485354,0.214291692,2028.052655,3.3070792265385567
494,purity_recovery,near,0.810226291,0.364730777,1.747819404,54.22233625,6.81558428,23.12160371,0.871543265,0.776327674,0.465402495,986.9281353,2.9942855299959343
501,purity_recovery,near,0.517882691,0.561917529,1.86301119,53.63728579,12.11832868,17.45055559,0.770845375,0.848934697,0.286690262,1489.250826,3.172967849648601
528,purity_recovery,near,0.689983579,0.559126292,1.937294531,48.90256737,6.991043256,22.6974709,0.821574492,0.829344783,0.366362967,1305.823096,3.115884345671913
530,purity_recovery,near,0.60107406,0.468773003,1.780659018,41.62285668,11.22985511,23.2348403,0.877070706,0.750970185,0.332776938,1206.290434,3.0814518838389158
531,purity_recovery,near,0.728632919,0.609328549,1.967633038,49.45163111,14.875048,18.6739668,0.658436562,0.86563013,0.337885342,1409.192241,3.148970243294216
532,purity_recovery,near,0.500865911,0.492938728,1.794618977,44.85632271,11.87424088,21.34096501,0.87077271,0.771242589,0.287996802,1354.054275,3.131636072665662
544,purity_recovery,near,0.76992513,0.525773629,1.955333086,54.1617902,5.752706013,24.47938046,0.827030014,0.83971938,0.41079742,1217.348865,3.085415055167323
562,purity_recovery,near,0.70518648,0.490284697,1.910638758,52.51946166,7.522405732,24.96250776,0.862746055,0.81702941,0.390514206,1193.355897,3.076769983530315
563,purity_recovery,near,0.505014764,0.647525721,1.912522362,51.09316559,5.295668779,22.96395167,0.813754988,0.849203517,0.265378444,1706.857602,3.2321972907425978
576,purity_recovery,near,0.728083672,0.427506783,1.865738047,49.52807618,14.45887361,23.51428532,0.851424252,0.795704853,0.411947147,1062.427732,3.0262993983354853
600,purity_recovery,near,0.690601553,0.453809224,1.670788066,54.32989986,8.43834613,22.54753128,0.824437283,0.813754661,0.380656089,1126.059503,3.051561340019573
603,purity_recovery,near,0.860329986,0.640476136,1.932246253,54.92578306,13.82671981,22.96820492,0.574894241,0.889965308,0.336907827,1492.823137,3.174008357507435
611,purity_recovery,near,0.522213664,0.47724087,1.74511336,38.14355511,7.971136242,23.336037,0.895986378,0.708930716,0.28232485,1364.226217,3.134886391324016
624,purity_recovery,near,0.844083688,0.800147223,1.886167506,54.02267585,7.191633411,19.40167626,0.364508257,0.910428227,0.212305688,2474.276071,3.3934481550436564
625,purity_recovery,near,0.929623109,0.523135384,1.902644038,54.7317176,9.070632126,20.17480053,0.687164851,0.859379008,0.441042412,1197.237296,3.0781802373986125
627,purity_recovery,near,0.541802263,0.439230395,1.796293504,48.63797775,11.20538993,21.09536196,0.886695702,0.768061743,0.32278402,1237.498944,3.09254483700749
631,purity_recovery,near,0.520685175,0.361925584,1.550827064,38.8579595,7.220721665,16.96930233,0.900433089,0.656879216,0.311381255,1167.903879,3.0674071008776718
635,purity_recovery,near,0.670108449,0.39609523,1.721257295,53.49052887,7.945195433,20.98450569,0.8742458,0.779336776,0.396828427,1079.898103,3.033382778271595
641,purity_recovery,near,0.757875301,0.504191036,1.950363583,47.86582627,12.60711589,21.63877084,0.80053103,0.822169187,0.406040054,1162.156846,3.0652647448834895
651,purity_recovery,near,0.528993468,0.359483502,1.81157296,43.32672785,7.856969897,18.79399148,0.918569792,0.67787942,0.322976925,1223.412485,3.0875729081864196
659,purity_recovery,near,0.710523122,0.542510527,1.973921121,53.25315908,10.08414416,19.44758352,0.766168386,0.850581013,0.378484344,1289.516351,3.110426853340224
661,purity_recovery,near,0.527439231,0.384630991,1.666787339,44.87652372,8.839460151,24.23592012,0.919136709,0.698140935,0.303575218,1209.543405,3.0826214578270865
662,purity_recovery,near,0.513993428,0.371361314,1.432744136,37.99555788,13.01004176,23.0647529,0.904513735,0.660931748,0.290926407,1094.18347,3.039090149536669
664,purity_recovery,near,0.709898538,0.811622119,1.940025004,50.38276383,10.6605822,16.99383234,0.37977632,0.905212801,0.191645181,2580.68814,3.411735525946318
667,purity_recovery,near,0.793434752,0.785028656,1.546827642,52.78980648,12.61167123,23.37889241,0.264557476,0.903768621,0.140520224,3034.468307,3.482082605933623
689,purity_recovery,near,0.883774919,0.71114353,1.936333181,52.83512882,12.42181746,24.7905544,0.528205986,0.896590758,0.307423485,1660.385593,3.2202089563929754
693,purity_recovery,near,0.56966284,0.415291486,1.685229991,53.18788129,11.92329877,17.9581434,0.851643939,0.788783703,0.345563457,1149.401245,3.0604716632138413
728,purity_recovery,near,0.775571088,0.422624486,1.877497814,53.84300214,5.929615527,20.06349278,0.85257708,0.802175219,0.449878394,1085.318985,3.035557399995798
750,purity_recovery,near,0.616720693,0.749423706,1.964097984,53.73697323,5.166794703,22.54105422,0.638718856,0.892411069,0.258889729,1914.696327,3.2820999041709147
752,purity_recovery,near,0.660348222,0.720241917,1.991215377,50.05733999,14.08880963,20.8709008,0.591265228,0.887893357,0.267705243,1762.190449,3.246052843054533
772,purity_recovery,near,0.698116165,0.472431552,1.92585246,46.36054677,10.44335542,20.56010994,0.84566529,0.793342713,0.393914849,1164.384598,3.066096452136191
778,purity_recovery,near,0.696641484,0.705097498,1.734882015,53.15573076,10.52864219,23.82359746,0.544794044,0.889604285,0.250994333,1779.912771,3.2503987191619146
780,purity_recovery,near,0.661016523,0.78891557,1.982500736,47.43962052,11.03741008,21.61313072,0.559586401,0.890123178,0.245427134,1960.591296,3.29238707026584
781,purity_recovery,near,0.798497523,0.497961718,1.977154838,54.83682688,13.36107277,19.56674778,0.744659873,0.851623246,0.419874866,1178.733079,3.0714154713872306
786,purity_recovery,near,0.597718313,0.407412694,1.965494395,40.35813937,12.46378716,24.31397724,0.916787469,0.705613715,0.341004305,1187.15187,3.0745062809461303
793,purity_recovery,near,0.937767083,0.417805973,1.86912521,54.5094491,5.036622229,22.66266316,0.825491242,0.811763341,0.509541512,1022.058736,3.0094758546907716
818,purity_recovery,near,0.764540963,0.746620072,1.884776796,53.00399577,7.628448955,24.93796519,0.559669897,0.896001658,0.275518738,1799.360649,3.2551182184722642
823,purity_recovery,near,0.537536525,0.380371975,1.649274527,43.72355921,7.613026599,24.97585679,0.923758293,0.684594085,0.303553276,1208.955544,3.0824103311746978
829,purity_recovery,near,0.533885331,0.742917788,1.851622735,45.84759599,5.881167235,24.4255375,0.735700184,0.858955536,0.242450721,1844.084228,3.265780753442244
836,purity_recovery,near,0.557279679,0.793617698,1.998221566,42.86375523,5.89196505,19.8036348,0.666316468,0.865710793,0.239965923,2019.904712,3.3053308823037084
840,purity_recovery,near,0.717272621,0.775327512,1.557449141,53.01105909,6.895228476,23.00025998,0.362245019,0.899590272,0.170611075,2528.738299,3.4029038862122807
841,purity_recovery,near,0.793840524,0.578232949,1.92709929,53.69111476,6.92858641,24.71952572,0.761221289,0.858852852,0.390073318,1286.05959,3.10926109223408
845,purity_recovery,near,0.897793065,0.580199682,1.939459866,54.4721059,10.19467293,23.84371612,0.677604377,0.872061893,0.40390188,1282.954827,3.108211365081078
846,purity_recovery,near,0.555632264,0.397413159,1.908320994,36.45945743,7.69126699,23.72905226,0.935081631,0.647758441,0.307094032,1290.987989,3.1109222017278553
850,purity_recovery,near,0.585698574,0.388609317,1.492653314,51.38901365,6.317059884,24.12543121,0.894691156,0.745763143,0.335803536,1107.024752,3.044157331390773
859,purity_recovery,near,0.826278987,0.647074279,1.952284193,52.42318302,8.547086645,24.07387842,0.667829264,0.877308578,0.359503234,1425.19347,3.153873823818282
872,purity_recovery,near,0.953799756,0.609191143,1.949686501,48.48989463,6.549961446,21.7327766,0.677873965,0.859767634,0.421224849,1293.602888,3.111800976472451
873,purity_recovery,near,0.520824004,0.751471998,1.818331228,50.90061248,12.69633448,19.79103392,0.533542823,0.890824148,0.192588367,2203.150005,3.343044067793487
878,purity_recovery,near,0.772030493,0.377761528,1.919639322,48.06513698,9.552893555,24.10953189,0.897123618,0.754973337,0.443724669,1030.73279,3.01314609218023
886,purity_recovery,near,0.587730299,0.438431911,1.737037457,52.62093839,7.03213621,22.02620045,0.88531462,0.783165652,0.345329469,1206.489183,3.081523432515447
899,purity_recovery,near,0.867204391,0.668389127,1.93252123,46.37374464,11.12694418,24.44554647,0.650906306,0.867106345,0.35993241,1393.826605,3.1442087499631994
903,purity_recovery,near,0.57980115,0.730094684,1.9440572,52.82211396,12.29285175,17.77130956,0.539658841,0.894968106,0.223374466,2066.264824,3.315185982348799
911,purity_recovery,near,0.527690172,0.826452699,1.638034268,51.7703499,9.61194078,24.77769908,0.403951188,0.902127789,0.138001026,2918.598325,3.4651743288901837
916,purity_recovery,near,0.589922009,0.708373311,1.69012107,52.08616055,10.17125522,22.51619936,0.569502348,0.884148778,0.224211286,1876.376154,3.2733199050617223
918,purity_recovery,near,0.643836572,0.501415425,1.965697296,43.70333529,6.437047157,19.46835162,0.861421916,0.778543236,0.363038289,1292.033583,3.111273802143613
920,purity_recovery,near,0.887157688,0.795367024,1.856740688,49.30268875,14.0976978,21.64995081,0.366128999,0.90236625,0.22003298,2248.649807,3.3519218259427483
944,purity_recovery,near,0.528405542,0.424821348,1.727580603,48.22910393,8.445261231,23.41960597,0.906456488,0.744320775,0.307991073,1259.112153,3.100064415778795
955,purity_recovery,near,0.989000106,0.628846201,1.971583427,47.5914207,5.195878887,22.49926773,0.681474889,0.860614175,0.4294327,1302.468287,3.114767157730813
999,purity_recovery,near,0.909360213,0.579368135,1.974174593,51.57842757,8.218635001,23.43329566,0.714233946,0.861165736,0.424044553,1251.174045,3.0973177265803873
1011,purity_recovery,near,0.646878726,0.572323117,1.875527433,53.51865043,10.94623246,23.2644209,0.772112719,0.854622487,0.33351783,1354.801365,3.1318756255365647
1012,purity_recovery,near,0.679992247,0.45661957,1.904917196,40.88863465,10.34929483,24.8613129,0.89185998,0.745118476,0.371064017,1160.608585,3.0646857787085544
1020,purity_recovery,near,0.783163483,0.803107188,1.917254755,52.33351717,11.63645378,19.26770626,0.363786045,0.909063819,0.198971847,2513.332377,3.4002499258993018
1039,purity_recovery,near,0.525431806,0.784714645,1.883489202,44.1058475,5.582136726,20.56617072,0.656226773,0.866169089,0.221608612,2073.72969,3.3167521455958306
1060,purity_recovery,near,0.53019519,0.433486652,1.936545442,45.01682934,14.48669457,18.530324,0.883228877,0.754492078,0.324493254,1243.935977,3.094798028625593
1084,purity_recovery,near,0.610291525,0.82607812,1.961080661,44.34988798,8.993693254,20.39614988,0.5569184,0.884272461,0.223432575,2130.576872,3.3284972083243773
1089,purity_recovery,near,0.99168348,0.383824625,1.989592786,54.59230836,14.04187585,24.83030482,0.808240335,0.818211292,0.534865277,970.4570547,2.986976321466284
1091,purity_recovery,near,0.749691455,0.672259873,1.929964766,49.25784662,5.854529624,20.24594435,0.668747494,0.870114347,0.333195878,1529.832343,3.1846438383341793
1095,purity_recovery,near,0.884484307,0.823771402,1.926973303,48.30765071,11.53028604,20.44485027,0.370830682,0.903338604,0.222155428,2327.017561,3.3667996607326343
1101,purity_recovery,near,0.581553026,0.748456095,1.88681283,41.90243473,8.092124863,22.90711896,0.713752154,0.851651389,0.258677668,1744.68577,3.2417172188918983
1113,purity_recovery,near,0.682777011,0.746395215,1.8993702,52.66380987,11.49710828,15.90895726,0.426560812,0.900748772,0.212079274,2265.208735,3.3551082276653275
1131,purity_recovery,near,0.807854027,0.814435291,1.813134546,51.55458901,5.124556294,19.63203646,0.383776082,0.905056253,0.20925839,2438.47141,3.3871176680465
1142,purity_recovery,near,0.7374966,0.430635336,1.840940468,53.67618589,8.2286071,21.51459239,0.851424272,0.804844189,0.423448214,1095.183652,3.039486952383804
1147,purity_recovery,near,0.505787235,0.764609482,1.78367427,43.28433392,6.309982008,23.65760636,0.705308707,0.854096967,0.219481012,1953.124395,3.29072990449709
1148,purity_recovery,near,0.512231945,0.354603695,1.434142967,44.1489901,10.48488288,23.90633891,0.912891864,0.679516881,0.29559214,1107.372199,3.04429361618472
