model_name,model_label,subset,target,n,rmse,mae,r2,normalized_rmse
ridge,Ridge,test_global,recovery,342,0.034324288665592444,0.027301051871306273,0.9644511432943743,0.04729700185373289
ridge,Ridge,test_global,purity,342,0.010049364383344257,0.007987543662373257,0.9612277019811972,0.04051020490339468
ridge,Ridge,test_global,productivity_mol_h_kg,342,0.02621950012308623,0.019732508513426436,0.9188139679716952,0.0580801954665909
ridge,Ridge,test_global,energy_kJ_kgCO2,342,224.56458273975414,144.98720403666934,0.8303439454292861,0.08866806605321462
ridge,Ridge,test_global,log_energy,342,0.048399768181204526,0.03779273880445934,0.8717750410495926,0.08503852607687103
ridge,Ridge,test_purity_recovery_near,recovery,31,0.024807196375440398,0.020417850146337912,0.976642822109717,0.04780470187662484
ridge,Ridge,test_purity_recovery_near,purity,31,0.016979994654223594,0.01315312674954983,0.9499740409395998,0.06844841489091621
ridge,Ridge,test_purity_recovery_near,productivity_mol_h_kg,31,0.047557269720280154,0.03206097591366577,0.5815624852609081,0.15052128177014631
ridge,Ridge,test_purity_recovery_near,energy_kJ_kgCO2,31,134.25825789972896,109.72221845605442,0.8953889976957542,0.10034503009279618
ridge,Ridge,test_purity_recovery_near,log_energy,31,0.05250431258627348,0.039646716262641206,0.7887102790209196,0.14446457818088587
ridge,Ridge,test_productivity_energy_near,recovery,6,0.024053500160645485,0.02341961333333331,-18.226362281788646,1.4504661988731888
ridge,Ridge,test_productivity_energy_near,purity,6,0.021102298576215258,0.020894069096470125,-0.2259582771965738,0.43849879719406454
ridge,Ridge,test_productivity_energy_near,productivity_mol_h_kg,6,0.08088677512790804,0.07830784166987492,-5.421842014696201,0.7894106727806521
ridge,Ridge,test_productivity_energy_near,energy_kJ_kgCO2,6,194.28673586708518,183.90970483333328,-8.618243131445917,1.2014388956122175
ridge,Ridge,test_productivity_energy_near,log_energy,6,0.08273877162297996,0.07896328267898241,-10.213195591193951,1.301006763641105
ridge,Ridge,test_pareto_focus,recovery,32,0.025024909000192653,0.02074933207926485,0.9762085148482722,0.048224244938385855
ridge,Ridge,test_pareto_focus,purity,32,0.01717008417165523,0.013438097528881227,0.9495005033529753,0.06921468875734163
ridge,Ridge,test_pareto_focus,productivity_mol_h_kg,32,0.048121986503223094,0.03303319693400855,0.5602713678105068,0.1523086403486695
