rank,model_name,model_label,global_norm_rmse,pareto_norm_rmse,selection_score,mean_test_r2,best_cv_norm_rmse,best_params
1,svr_rbf,RBF SVR,0.002756832899378228,0.0029655663502577935,0.0028820729699059675,0.9997766000164835,0.004861618943840655,"{""regressor__model__estimator__C"": 100.0, ""regressor__model__estimator__epsilon"": 0.001, ""regressor__model__estimator__gamma"": 0.1}"
2,kernel_ridge_rbf,RBF kernel ridge,0.0025530320286230495,0.003312895857434582,0.003008950325909969,0.9997743673273535,0.003492715415820436,"{""regressor__model__alpha"": 0.0001, ""regressor__model__gamma"": 0.03}"
3,polynomial_ridge,Polynomial ridge,0.002231210348243763,0.005096082143969536,0.003950133425679227,0.9998348558407144,0.002524207034490592,"{""regressor__model__alpha"": 0.001, ""regressor__poly__degree"": 4}"
4,mlp,Neural network,0.011595968417059793,0.01579181830503789,0.01411347834984665,0.9972492665967121,0.013195680368892264,"{""regressor__model__alpha"": 0.001, ""regressor__model__hidden_layer_sizes"": [128, 64], ""regressor__model__learning_rate_init"": 0.001}"
5,hist_gradient_boosting,Gradient boosting,0.024968466785632505,0.025753063744271165,0.0254392249608157,0.9875248012339329,0.03169395257798325,"{""regressor__estimator__l2_regularization"": 0.001, ""regressor__estimator__learning_rate"": 0.08, ""regressor__estimator__max_iter"": 320, ""regressor__estimator__max_leaf_nodes"": 15}"
6,extra_trees,Extra trees,0.040016360926475925,0.04772481709018728,0.04464143462470274,0.968115973452351,0.04529263057421289,"{""regressor__max_depth"": 20, ""regressor__max_features"": 1.0, ""regressor__min_samples_leaf"": 1, ""regressor__n_estimators"": 300}"
7,random_forest,Random forest,0.04874600459377243,0.05424990966575604,0.0520483476369626,0.9530980352829411,0.053508789377383854,"{""regressor__max_depth"": null, ""regressor__max_features"": 1.0, ""regressor__min_samples_leaf"": 1, ""regressor__n_estimators"": 240}"
8,ridge,Ridge,0.057731482075147375,0.10473125880235479,0.08593134811147182,0.9290669635742148,0.060932433292591216,"{""regressor__model__alpha"": 0.0001}"
