problem,individual_id,x1,x2,x3,x4,x5,x6,x7,rank,crowding_distance,pred_purity,pred_recovery,pred_productivity_mol_kg_h,pred_energy_kWh_ton,pred_log_energy,objective_1_score,objective_2_score,is_nondominated
purity_recovery,1,102449.18313898976,10.001041089615745,0.30619001937476426,0.10000002782426219,10000.00127328441,58.46267164970054,0.0003126543764337913,0,inf,0.4360032050430458,0.9999999999999,5.5759872217958275,89.70023864018133,1.952793598450737,0.4360032050430458,0.9999999999999,1
purity_recovery,2,100033.44373934082,10.000150176020767,0.16981818310672228,0.10000005853306437,10000.193008559203,55.27977931042256,0.00013667226111193918,0,inf,0.669704153165371,0.9129535628215741,5.670508687280908,81.26029863424286,1.9098784140396847,0.669704153165371,0.9129535628215741,1
purity_recovery,3,100046.51949179708,10.0003476124412,0.1990384212669073,0.10000000880236497,10000.067471716482,54.82790758554105,9.40448980760569e-05,0,0.06705821785493551,0.5829789527743263,0.9333501720479896,5.667331643552654,80.46693545247673,1.905617461729313,0.5829789527743263,0.9333501720479896,1
purity_recovery,4,100138.2521527576,10.000051951058664,0.22407471448285685,0.10000000137612397,10000.028766439402,54.58019482088504,0.0002331344065952262,0,0.05784186149027418,0.5293403342574732,0.9503413664562108,5.658834939755501,80.72235546935384,1.9069938260784265,0.5293403342574732,0.9503413664562108,1
purity_recovery,5,102626.16324591826,10.00005245899758,0.2687926359506957,0.10000006241059167,10000.020340912142,55.42321855165344,0.002008346716139108,0,0.05712771931168972,0.4669586871666145,0.9786779292251498,5.646844104185956,84.79065501241558,1.9283479902262832,0.4669586871666145,0.9786779292251498,1
purity_recovery,6,100006.40547248579,10.000004934085926,0.199074574931687,0.10000010142232203,10000.181228836094,56.947367711710505,0.00014059530795264906,0,0.04970620084936861,0.5872642699970614,0.9320217948568716,5.6598182863992506,81.25764754807923,1.9098642451171866,0.5872642699970614,0.9320217948568716,1
purity_recovery,7,100060.15002555492,10.00005245899758,0.2687926359506957,0.10000014222104092,10000.005045371488,53.002743860076066,0.002066494874428849,0,0.04818767702671821,0.46302580455380904,0.9804404078390925,5.629647007857624,82.3771506942646,1.915806766266205,0.46302580455380904,0.9804404078390925,1
purity_recovery,8,100021.75925468719,10.000024236147995,0.1751147080598595,0.10000000246440187,10000.007112944815,54.68993966191375,0.001603539655841701,0,0.04531062998809038,0.6505829823674572,0.9169716560108586,5.671104286839679,80.83991811557095,1.9076258649376046,0.6505829823674572,0.9169716560108586,1
purity_recovery,9,100410.10381590486,10.00000497586795,0.2040127400771114,0.10000000300058326,10000.00299890072,56.34971128215164,0.00014059530795264906,0,0.04486380186369124,0.5743329824636646,0.9357276564718042,5.664552842555555,81.25730083546726,1.9098623920522755,0.5743329824636646,0.9357276564718042,1
purity_recovery,10,100025.27245100729,10.000028542662477,0.24011725814841245,0.10000000484950243,10000.03776664849,56.49111520572403,8.218620869436256e-05,0,0.04269874009440984,0.5054612992924173,0.959769553357671,5.640210197139048,81.9730633773932,1.9136711652078657,0.5054612992924173,0.959769553357671,1
purity_recovery,11,100000.57091285322,10.000004439470437,0.21213741705205033,0.10000000867411711,10000.00700116795,55.807928552749864,9.239906733541142e-05,0,0.0426280197700163,0.5550475190724278,0.9416329640362454,5.659465050660213,80.87266352905334,1.9078017467698378,0.5550475190724278,0.9416329640362454,1
purity_recovery,12,100008.83393563025,10.00008851877997,0.2542986425543268,0.10000003973104686,10000.000276462624,57.51502498353226,0.000300294399413149,0,0.04211424074743737,0.4866272405685864,0.9682634445878114,5.621854434561971,83.14780161296012,1.9198507711745167,0.4866272405685864,0.9682634445878114,1
purity_recovery,13,100084.7549442422,10.000151012223894,0.22567185039720167,0.10000009684225812,10000.18334121807,54.57401463676498,0.012838542044096998,0,0.041568698440743596,0.5264063304959493,0.9513888405091365,5.657244714982809,80.73515792707225,1.9070626991415203,0.5264063304959493,0.9513888405091365,1
purity_recovery,14,100013.95600315605,10.000013627403147,0.21267082168187013,0.10000000450598504,10000.000423549873,57.91033207344649,0.00020916173863962383,0,0.04134123035556249,0.5577573152562596,0.9404766001901664,5.648806545365506,81.73460762956937,1.91240598211582,0.5577573152562596,0.9404766001901664,1
purity_recovery,15,100073.53639875355,10.000014379885151,0.2865493080451215,0.100000004517934,10000.226765751786,56.57450459058522,0.00010133180731690321,0,0.043120753428503134,0.44975385998431106,0.9896180988066672,5.594957232225656,85.31858441290566,1.931043641119118,0.44975385998431106,0.9896180988066672,1
purity_recovery,16,100023.91988731138,10.00000624940768,0.19591401774078546,0.10000005985086302,10000.000059669963,56.299899041190805,4.806673303237116e-05,0,0.03974607809616293,0.5939293709469229,0.9303176958195669,5.663748687207342,81.02696071544885,1.9086295490235585,0.5939293709469229,0.9303176958195669,1
purity_recovery,17,132436.25890832604,10.000369313154327,0.28337693740579106,0.1000001886721414,10000.052250164768,58.10497007434934,0.001951290187668481,0,0.03916221528457886,0.4619915058805727,0.9810223721063875,5.903273047600784,105.75119142106129,2.0242852689518345,0.4619915058805727,0.9810223721063875,1
purity_recovery,18,100410.10381590486,10.000004997316022,0.28368267162165883,0.10000000300058326,10000.178673011456,56.34971128215164,0.00014059530795264906,0,0.054284743625925856,0.45224755053383603,0.9879127241898619,5.603323645361108,85.14800392205883,1.9301744714906788,0.45224755053383603,0.9879127241898619,1
purity_recovery,19,103501.42980420755,10.000078295159607,0.27539350543346547,0.10000006326353054,10000.020812963772,55.42321855165344,0.002008346716139108,0,0.03861255863148116,0.46009398865900286,0.9827573276293956,5.648919487310067,85.83081733755469,1.9336432481826176,0.46009398865900286,0.9827573276293956,1
purity_recovery,20,100048.63743555296,10.000002676051432,0.181917471187381,0.10000007017590588,10000.192272084334,54.48867702190091,0.00012360028033442982,0,0.038453976432635414,0.6287546403877519,0.9217921664351412,5.6711095745421005,80.58340061804026,1.9062455906583105,0.6287546403877519,0.9217921664351412,1
purity_recovery,21,100273.74856706151,10.00001682768651,0.24497543349200177,0.10000001617094943,10000.027715630413,58.01449376935175,6.78456513571353e-05,0,0.04596441838929062,0.5004312108209413,0.9617521351740945,5.628936810326625,82.9912429909507,1.919032269227297,0.5004312108209413,0.9617521351740945,1
purity_recovery,22,100013.32247153352,10.000020147908293,0.18260773821018006,0.10000017890421467,10000.036972997454,56.877318355644476,0.00019794398466873656,0,0.03797524374959545,0.6323500187390806,0.9207975270529694,5.664440201060611,81.45017380590123,1.9108920153831812,0.6323500187390806,0.9207975270529694,1
purity_recovery,23,100015.13541793726,10.001093813562688,0.22124286035874335,0.10000000060174184,10000.005826326733,53.81395153817864,0.0027488377255821214,0,0.037944700969117576,0.5331596309287482,0.948869309880688,5.660408985113964,80.30419698566197,1.9047382436607687,0.5331596309287482,0.948869309880688,1
purity_recovery,24,100056.15386074038,10.00004757563533,0.2986942682785437,0.10000019503276623,10000.002273388274,54.49319108903442,0.2799741171916546,0,0.037712691187180875,0.43707067501696073,0.9980556841665189,5.5862835770253305,85.72034819342423,1.933083926464234,0.43707067501696073,0.9980556841665189,1
purity_recovery,25,100036.96066081423,10.000369735243746,0.21913376612101063,0.10000007640721287,10000.012135995534,58.05078881285104,5.37868519269327e-05,0,0.0369712585276985,0.5447219812144211,0.9446883209205503,5.644614674242096,81.92272380341173,1.91340438348925,0.5447219812144211,0.9446883209205503,1
purity_recovery,26,100234.90141422983,10.00001196700406,0.23469328167833592,0.10000000593815303,10000.066904769996,56.63292995391096,0.00021493148559419375,0,0.037208163827906565,0.5143856533323022,0.9560651019496291,5.6453390019067875,81.92287281650985,1.9134051734472053,0.5143856533323022,0.9560651019496291,1
purity_recovery,27,100088.30210293172,10.000392905479817,0.2331200343626498,0.10000005851439682,10000.029298330097,52.271650553436544,0.00010730645438883655,0,0.035313459352769645,0.5096416161155514,0.9574594300447543,5.656005809644725,80.15952082582497,1.9039551124238432,0.5096416161155514,0.9574594300447543,1
purity_recovery,28,100018.2475177172,10.000140364974227,0.22900472826405086,0.10000002816775969,10000.18334121807,54.67340846410384,0.00015795828236431946,0,0.035140455107643076,0.5206901783244926,0.9535883080270049,5.654761868989539,80.83177728600918,1.907582127938979,0.5206901783244926,0.9535883080270049,1
purity_recovery,29,100058.17675883345,10.001904404241971,0.17376783290783193,0.10000005826335764,10000.002755223313,54.583903997117375,0.00023524320032316655,0,0.03476173843766672,0.6547664939616384,0.916088677904613,5.671619485059772,80.86984291778566,1.9077865995344427,0.6547664939616384,0.916088677904613,1
purity_recovery,30,100033.44373934082,10.000153707120466,0.17913314491742474,0.10000002983646489,10000.014240687906,55.27977931042256,0.0005750027853341788,0,0.034728855179491626,0.6392308630905104,0.919426629363739,5.670027855680402,80.93806797195543,1.9081528333748827,0.6392308630905104,0.919426629363739,1
purity_recovery,31,100036.96066081423,10.00007770498473,0.21913376612101063,0.10000007640721287,10000.000144674166,53.020436615812926,1.0483493024406593e-05,0,0.03459765820446131,0.5356842704985957,0.9478332159454723,5.662209092970624,79.99275220044927,1.9030506392176265,0.5356842704985957,0.9478332159454723,1
purity_recovery,32,100104.84654298224,10.00000120017366,0.21904092845412856,0.10000009413613756,10000.008094534642,56.877318355644476,3.2733251962209357e-05,0,0.0343444381254257,0.5429248520719729,0.9455162621138051,5.652355222027108,81.47356115371817,1.9110166994407316,0.5429248520719729,0.9455162621138051,1
purity_recovery,33,100026.45675463679,10.00006467023371,0.1779055331714216,0.10000001211951244,10000.111804654018,52.9154716262478,7.461166934563642e-06,0,0.03402780425338319,0.6370476636951897,0.9197573639734278,5.67109166958107,80.13553041570133,1.903825115861474,0.6370476636951897,0.9197573639734278,1
purity_recovery,34,100000.24464835621,10.000004467295703,0.21213741705205033,0.10000019065566938,10000.006958797449,54.62726359199708,8.878721136960192e-05,0,0.03400220670333059,0.5527955235531594,0.94233910216966,5.662862725572328,80.4281135749631,1.905407882533304,0.5527955235531594,0.94233910216966,1
purity_recovery,35,100046.51949179708,10.0003476124412,0.1990384212669073,0.10000006213388357,10000.013878907268,52.57085884435039,9.123550236016478e-05,0,0.03593106747751716,0.578065764797495,0.9344328126725849,5.6684516977270825,79.67813217856924,1.9013391447674444,0.578065764797495,0.9344328126725849,1
purity_recovery,36,116652.31565205622,10.000005261654248,0.3016669947374961,0.10000000455223824,10000.008437018998,57.98370052826005,3.288377913762716e-05,0,0.03322050551876171,0.4421280642029055,0.9952859982088995,5.729365492102101,97.63237580095215,1.9895938576269896,0.4421280642029055,0.9952859982088995,1
purity_recovery,37,102479.06066059793,10.000041866370672,0.24378539091193294,0.10000005778148707,10000.02909162348,58.15599459425951,0.00010005897074111111,0,0.03283611401946958,0.5030988083489019,0.9605177864197324,5.6503524072382305,84.27985891121313,1.9257237999055348,0.5030988083489019,0.9605177864197324,1
purity_recovery,38,100234.90141422983,10.00001196700406,0.20603889265259995,0.10000000098216315,10000.066718636152,56.63611025755404,0.0001828909866179891,0,0.059493187491018146,0.5701364147690655,0.9369283387899625,5.660862339880694,81.27712784866526,1.9099683482184482,0.5701364147690655,0.9369283387899625,1
purity_recovery,39,100200.91382533367,10.001122371525048,0.2655608340040619,0.10000003428500168,10000.067499741823,56.79799062870878,0.00018346502521742665,0,0.03256838446226756,0.47176662045300943,0.9760533316898711,5.617927737351543,83.71245600521951,1.9227900837023912,0.47176662045300943,0.9760533316898711,1
purity_recovery,40,100029.06358157782,10.000485676690523,0.23089122857651417,0.10000007625750759,10000.00244400913,54.94916194121768,0.00039669392767801204,0,0.03241812739357822,0.5179305792286549,0.9546781743001694,5.652969308980953,81.00431969203271,1.9085081789822487,0.5179305792286549,0.9546781743001694,1
purity_recovery,41,100057.30411333192,10.00006425141774,0.1877408567476378,0.10000001211951244,10000.218891642782,55.40889033856954,0.00010186247952433896,0,0.04831171288537905,0.6139906487069589,0.9252836195490636,5.668762405413933,80.80365207977655,1.907430990010365,0.6139906487069589,0.9252836195490636,1
