column,min,max,mean,std
FAD_m3_h,0.500029792,0.999579657,0.750117587496487,0.14381194450640125
FRP_m3_h,0.35015179,0.849847671,0.5777916195784544,0.1358957960779203
FVU_m3_h,1.000289722,1.999989169,1.5364175026768152,0.2792222977894988
TRP_s,35.00182795,54.98513128,44.68840210973068,5.765268022878534
TED_s,5.003255606,14.99721407,9.982642516204919,2.8807259503820832
TPR_s,15.00286373,24.99382308,20.071665861563233,2.869320140933756
recovery,0.177988652,0.935081631,0.5984766446129977,0.18454470935513959
purity,0.63636817,0.918193877,0.818178553747658,0.05222624003389823
productivity_mol_h_kg,0.075959911,0.552161344,0.2920729614028103,0.09319863735746867
energy_kJ_kgCO2,913.4047415,3487.664759,1565.426395626815,560.990445628593
