problem,n_population,n_nondominated,n_feasible_nondominated,purity_min,purity_max,recovery_min,recovery_max,productivity_min,productivity_max,energy_min,energy_max
purity_recovery,160,160,160,0.7194684020199121,0.918193877,0.3485949542871908,0.935081631,0.16992852638363115,0.37233329339526744,1126.6163386348512,2896.95766935144
productivity_energy,160,160,160,0.7450823752400617,0.7568274714110594,0.9000000669252057,0.9001487419774516,0.4853759796394248,0.5040796046119213,961.4394641201526,1003.1938464500962
