model_name,model_label,subset,target,n,rmse,mae,r2,normalized_rmse
kernel_ridge_rbf,RBF kernel ridge,test_global,recovery,342,0.0010503678021428194,0.0007258481172471232,0.9999667106475421,0.0014473496703472847
kernel_ridge_rbf,RBF kernel ridge,test_global,purity,342,0.0002449950608995248,0.0001634097232327216,0.999976955939174,0.0009876047617308713
kernel_ridge_rbf,RBF kernel ridge,test_global,productivity_mol_h_kg,342,0.0004334386521075411,0.0003058276067406849,0.9999778135521711,0.0009601327835772061
kernel_ridge_rbf,RBF kernel ridge,test_global,energy_kJ_kgCO2,342,22.55442404727344,10.43990295416752,0.9982886047554109,0.008905487841479749
kernel_ridge_rbf,RBF kernel ridge,test_global,log_energy,342,0.003879926127670283,0.0025031448610800576,0.9991759891705377,0.0068170408988105875
kernel_ridge_rbf,RBF kernel ridge,test_purity_recovery_near,recovery,31,0.0016289141931364263,0.0010474398192534048,0.9998992925929654,0.0031389987085595175
kernel_ridge_rbf,RBF kernel ridge,test_purity_recovery_near,purity,31,0.0004001021415299166,0.0002529683996189834,0.9999722244877698,0.0016128601887028123
kernel_ridge_rbf,RBF kernel ridge,test_purity_recovery_near,productivity_mol_h_kg,31,0.0006802039845661805,0.0004876565761040232,0.9999143997308966,0.002152881698723792
kernel_ridge_rbf,RBF kernel ridge,test_purity_recovery_near,energy_kJ_kgCO2,31,7.5505781570560355,5.727417388825455,0.9996691312408316,0.005643325067972054
kernel_ridge_rbf,RBF kernel ridge,test_purity_recovery_near,log_energy,31,0.002318674294650798,0.0017412977586622638,0.9995879329290509,0.006379786486399268
kernel_ridge_rbf,RBF kernel ridge,test_productivity_energy_near,recovery,36,0.0010312499831689943,0.0005902482314338937,0.9997570804069352,0.0037978733057028387
kernel_ridge_rbf,RBF kernel ridge,test_productivity_energy_near,purity,36,0.00022694464471953202,0.0001645339124163931,0.9999513921060157,0.0016090798168262557
kernel_ridge_rbf,RBF kernel ridge,test_productivity_energy_near,productivity_mol_h_kg,36,0.0004532855667589716,0.0003312362519696737,0.9997926588536223,0.0033300755647001088
kernel_ridge_rbf,RBF kernel ridge,test_productivity_energy_near,energy_kJ_kgCO2,36,5.294000214413691,4.206830344944937,0.9890372460170255,0.02555700154760282
kernel_ridge_rbf,RBF kernel ridge,test_productivity_energy_near,log_energy,36,0.0022347529523381385,0.0017850667174387708,0.9888499103261197,0.02571881701410685
kernel_ridge_rbf,RBF kernel ridge,test_pareto_focus,recovery,65,0.001192669570593224,0.0007377229513911014,0.9999036209137321,0.0022983336124181046
kernel_ridge_rbf,RBF kernel ridge,test_pareto_focus,purity,65,0.00032253124218731044,0.0002070488556302507,0.9999708846126082,0.0013001624988750067
kernel_ridge_rbf,RBF kernel ridge,test_pareto_focus,productivity_mol_h_kg,65,0.0005545228224311235,0.0003905147433457631,0.9999567875598411,0.00154648284963411
kernel_ridge_rbf,RBF kernel ridge,test_pareto_focus,energy_kJ_kgCO2,65,6.495688945995453,4.946754033194008,0.9996783617094972,0.004558975051453727
kernel_ridge_rbf,RBF kernel ridge,test_pareto_focus,log_energy,65,0.002288252330018352,0.0017703314227135209,0.9995364067858746,0.0056920742712901875
kernel_ridge_rbf,RBF kernel ridge,train_global,recovery,1366,0.0008836189002983905,0.000605759316836186,0.9999772075586078,0.0011671207167520048
kernel_ridge_rbf,RBF kernel ridge,train_global,purity,1366,0.00015054268912592238,0.00010952606675449036,0.9999917735619378,0.0005341694720770181
kernel_ridge_rbf,RBF kernel ridge,train_global,productivity_mol_h_kg,1366,0.0003149795157640465,0.00023047418213781768,0.9999886295801174,0.0006703157876704773
kernel_ridge_rbf,RBF kernel ridge,train_global,energy_kJ_kgCO2,1366,17.548491092242664,8.565006067511758,0.9990331134195027,0.006816906984122347
kernel_ridge_rbf,RBF kernel ridge,train_global,log_energy,1366,0.0030745341242667205,0.0019821706249002822,0.9995118453078563,0.005283871569031733
