candidate_id,problem,x1,x2,x3,x4,x5,x6,x7,status,purity,recovery,productivity_mol_kg_h,energy_kWh_ton,runtime_s,notes
PR_001,purity_recovery,102449.18313898976,10.001041089615745,0.30619001937476426,0.10000002782426219,10000.00127328441,58.46267164970054,0.0003126543764337913,,,,,,,
PR_002,purity_recovery,100276.87805803676,10.00001478042977,0.2921390965770575,0.10000001035688191,10000.068253949643,54.851427310156495,0.00021589694163767154,,,,,,,
PR_003,purity_recovery,100410.10381590486,10.000004997316022,0.28368267162165883,0.10000000300058326,10000.178673011456,56.34971128215164,0.00014059530795264906,,,,,,,
PR_004,purity_recovery,103501.42980420755,10.000078295159607,0.27539350543346547,0.10000006326353054,10000.020812963772,55.42321855165344,0.002008346716139108,,,,,,,
PR_005,purity_recovery,100200.91382533367,10.001122371525048,0.2655608340040619,0.10000003428500168,10000.067499741823,56.79799062870878,0.00018346502521742665,,,,,,,
PR_006,purity_recovery,100401.29062584341,10.000028491595307,0.25936085687670396,0.1000000153109683,10000.189221723356,58.11387134448142,3.314161388522056e-05,,,,,,,
PR_007,purity_recovery,120892.80251637659,10.00001823437332,0.25225248479926465,0.10000001349380493,10000.001645335013,55.49612174123041,0.0016046298378257914,,,,,,,
PR_008,purity_recovery,102479.06066059793,10.000041866370672,0.24378539091193294,0.10000005778148707,10000.02909162348,58.15599459425951,0.00010005897074111111,,,,,,,
PR_009,purity_recovery,100234.90141422983,10.00001196700406,0.23469328167833592,0.10000000593815303,10000.066904769996,56.63292995391096,0.00021493148559419375,,,,,,,
PR_010,purity_recovery,100100.73794918905,10.000151012223894,0.2267816755940415,0.10000009684225812,10000.002524261958,54.5898277754314,5.8215989237443504e-05,,,,,,,
PR_011,purity_recovery,100397.82960161673,10.000022820255454,0.22012965759882083,0.10000003537346318,10000.008680179093,56.83484414569487,0.0006205899448190643,,,,,,,
PR_012,purity_recovery,100599.3527048055,10.000597178429604,0.2152013077159437,0.10000005230730671,10000.354398158684,56.76438346466093,0.00029517945601558414,,,,,,,
PR_013,purity_recovery,100965.23797813528,10.000004934085926,0.20633080002427565,0.10000010142232203,10000.164818525322,53.11329736253852,0.00014059530795264906,,,,,,,
PR_014,purity_recovery,100031.43512559764,10.001904404241971,0.19932789880063131,0.10000005826335764,10000.002561811043,52.771210403571075,0.000241815856609309,,,,,,,
PR_015,purity_recovery,100674.41336236951,10.000053005199247,0.19522426008087831,0.10000002788490661,10000.00279097511,56.705577756707946,0.00020783714326479998,,,,,,,
