problem,individual_id,FAD_m3_h,FRP_m3_h,FVU_m3_h,TRP_s,TED_s,TPR_s,rank,crowding_distance,constraint_violation,is_feasible,pred_recovery,pred_purity,pred_productivity_mol_h_kg,pred_energy_kJ_kgCO2,pred_log_energy,objective_1_score,objective_2_score,is_nondominated
purity_recovery,1,0.7220137148301472,0.849690810493392,1.999962717290642,54.98655116435762,11.720915495192028,21.59604937113547,0,inf,0.0,1,0.3485949542871908,0.918193877,0.17283599339071268,2896.61798910109,3.4618912234865116,0.918193877,0.3485949542871908,1
purity_recovery,2,0.5924222244574905,0.3502478974134099,1.9999999285892422,50.373184223407485,9.528478038365893,24.994342761002663,0,inf,0.0,1,0.935081631,0.7194684020199121,0.35758514996257185,1139.4289471224818,3.0566872484854755,0.7194684020199121,0.935081631,1
purity_recovery,3,0.5317782177586861,0.6155155965127379,1.9999918042840008,54.974560610122325,6.247080757239043,24.928630773211047,0,0.049833023731070986,0.0,1,0.8360712857584142,0.8527823007291739,0.28832879928922767,1635.103931072111,3.2135453626578268,0.8527823007291739,0.8360712857584142,1
purity_recovery,4,0.5009673848867757,0.6439879940912961,1.9999595362685119,54.99572768548515,5.099411944257621,24.995948935291484,0,0.047055564916527445,0.0,1,0.8270930722321352,0.8563541269225087,0.2689358181603715,1761.9124568002032,3.2459843260549666,0.8563541269225087,0.8270930722321352,1
purity_recovery,5,0.5234747473085476,0.752172124511841,1.9999815524204272,54.94682631928183,6.663039241110516,24.683205907187208,0,0.039932352811944634,0.0,1,0.6825831274527201,0.8905395515783308,0.23217765588479644,2060.201200972291,3.3139096360026756,0.8905395515783308,0.6825831274527201,1
purity_recovery,6,0.517714195281245,0.7268782387335028,1.9999240068314585,54.995867172849714,6.906117269079273,24.751888393670427,0,0.0392197686624971,0.0,1,0.7166399197734948,0.8847634211767123,0.24125263794674315,1968.3626075437476,3.294105106264674,0.8847634211767123,0.7166399197734948,1
purity_recovery,7,0.5345078958777039,0.7047223596791234,1.999847331368936,54.98554476688729,5.460437962057724,24.824878132406056,0,0.038806450305163664,0.0,1,0.7521256299248662,0.8778985720516572,0.25970852529542254,1863.7854724504273,3.270395922238584,0.8778985720516572,0.7521256299248662,1
purity_recovery,8,0.5101663385285248,0.47806721797170404,1.9999992553384502,54.518909006105275,7.402092669163942,24.70814025878274,0,0.03677632023555341,0.0,1,0.9111529446402968,0.7950653068901258,0.3057365845380992,1432.000927893844,3.155943299381785,0.7950653068901258,0.9111529446402968,1
purity_recovery,9,0.6048405314764499,0.849939871091608,1.9999990261363183,54.99583737781046,6.9042508478451285,24.716979142366643,0,0.03559753135935666,0.0,1,0.49562186910296246,0.9111101239809786,0.1951647830181615,2534.3596880698847,3.4038682520069217,0.9111101239809786,0.49562186910296246,1
purity_recovery,10,0.5007536328341483,0.5710842989037519,1.9999268362800762,54.983803019993104,6.673250400608835,24.849327672565344,0,0.034204072167775934,0.0,1,0.8726215153218602,0.8344522464743329,0.2857949112458163,1601.2592162836077,3.204461642405886,0.8344522464743329,0.8726215153218602,1
purity_recovery,11,0.5996535064295349,0.3547351114765689,1.9999788218088788,51.19299505417538,9.490511113235643,24.98676850543493,0,0.03349084081555584,0.0,1,0.9337370957166111,0.7282119757628912,0.36263220863828705,1137.0314179336203,3.055772465080603,0.7282119757628912,0.9337370957166111,1
purity_recovery,12,0.5528272573023287,0.5443717403511417,1.9878651365217006,54.993201144234845,6.9166289492184845,24.98727092083052,0,0.033411730374982726,0.0,1,0.8753051548516959,0.8304300596025922,0.3147995064488332,1464.2039028571835,3.1656015601373264,0.8304300596025922,0.8753051548516959,1
purity_recovery,13,0.5363189456143311,0.7039682837394956,1.999847331368936,54.99114532165068,6.030247149803912,24.28520424674474,0,0.04432405818553209,0.0,1,0.7425609248030871,0.8797400466037326,0.2590163933092761,1857.5390462403739,3.2689379515785104,0.8797400466037326,0.7425609248030871,1
