candidate_id,problem,individual_id,FAD_m3_h,FRP_m3_h,FVU_m3_h,TRP_s,TED_s,TPR_s,rank,crowding_distance,constraint_violation,is_feasible,pred_recovery,pred_purity,pred_productivity_mol_h_kg,pred_energy_kJ_kgCO2,pred_log_energy,objective_1_score,objective_2_score,is_nondominated
PR_001,purity_recovery,1,0.5001638804740297,0.43928464790687316,1.999689202734026,54.999850869267604,5.761658056944979,24.99936139903532,0,inf,0.0,1,0.935081631,0.769657193471671,0.3028073900048222,1433.740559515822,3.1564705713008268,0.769657193471671,0.935081631,1
PR_002,purity_recovery,85,0.5005768173983279,0.481545348057034,1.9999992064874976,54.99975274248736,5.780873302219186,24.986422854039734,0,0.018033319079801827,0.0,1,0.9260491351838579,0.7926003524068865,0.3001674352577709,1469.3840297249085,3.1671353153232222,0.7926003524068865,0.9260491351838579,1
PR_003,purity_recovery,54,0.5011500772712458,0.5265864554616336,1.9999998342404957,54.91207414861122,5.000438283265818,24.890784437458215,0,0.034482318185623514,0.0,1,0.9115176397858201,0.8123464409715804,0.2949361756555173,1529.6835409539065,3.1846015938026806,0.8123464409715804,0.9115176397858201,1
PR_004,purity_recovery,57,0.5029487576805682,0.5780212052151125,1.9998824210075132,54.98958405586471,5.003893289251293,24.999515798334492,0,0.021079012751522193,0.0,1,0.8846354476592759,0.834602798048237,0.2870819058884228,1594.4829358128745,3.2026198757759285,0.834602798048237,0.8846354476592759,1
PR_005,purity_recovery,34,0.5001058859369482,0.6238403470142267,1.9996847105924425,54.999808361258445,5.026408254678829,24.398089471979695,0,0.02351750785524441,0.0,1,0.8477646944149881,0.8519459181927621,0.275476110922671,1681.0211650686103,3.22557318150291,0.8519459181927621,0.8477646944149881,1
PR_006,purity_recovery,128,0.505348574973952,0.6731310662563872,1.9999999250158642,54.99957677943285,5.001795327282473,24.997479404377355,0,0.028538330536329135,0.0,1,0.8059536920959008,0.8673039789404784,0.2628038426604038,1780.0212932563265,3.2504251975271035,0.8673039789404784,0.8059536920959008,1
PR_007,purity_recovery,124,0.5051854053247503,0.7200890654073733,1.9999995293030983,54.983699947818806,5.21921824254557,24.99661567849934,0,0.01566949975538446,0.0,1,0.7517939688954641,0.8803265329239216,0.24523290156097155,1920.488749118793,3.283411767262748,0.8803265329239216,0.7517939688954641,1
PR_008,purity_recovery,63,0.5288697409190175,0.75327869257466,1.9999998218254467,54.897238862878055,5.458807948398332,24.982758276726464,0,0.02009229780701183,0.0,1,0.6978967961659956,0.8897421007904002,0.23789869621634793,2006.000331991487,3.3023310005598026,0.8897421007904002,0.6978967961659956,1
PR_009,purity_recovery,151,0.5258244119730046,0.8077032967835001,1.9996814450290723,54.9955232772155,5.027499798960824,24.999844713246432,0,0.023477405793472173,0.0,1,0.6258986431369078,0.9001216112421923,0.2118680357750086,2282.0468026932895,3.3583245471562524,0.9001216112421923,0.6258986431369078,1
PR_010,purity_recovery,25,0.5880303535113417,0.8417343665341229,1.999890056476803,54.672743358137495,5.219524062941069,24.997374974474777,0,0.025697203535271024,0.0,1,0.5488129007687405,0.9079934654607679,0.2068763315678471,2394.8508977714887,3.3792784796333275,0.9079934654607679,0.5488129007687405,1
PR_011,purity_recovery,148,0.7177004061491858,0.8497921386449758,1.9999999290483244,54.99570491972491,6.114856463010023,24.748441101462696,0,0.028161126044290934,0.0,1,0.4622442424832369,0.9145291190937889,0.21462689665716247,2412.43534075541,3.3824556820036236,0.9145291190937889,0.4622442424832369,1
PR_012,purity_recovery,2,0.6974906986376932,0.8497921386449758,1.9999994004645023,54.989318632277445,13.137692750393912,24.999934072909237,0,inf,0.0,1,0.3934067643485881,0.918193877,0.1827932394603225,2691.0616133413614,3.4299236412895215,0.918193877,0.3934067643485881,1
PE_001,productivity_energy,2,0.9999999468064557,0.3500000129838651,1.8729028844572924,46.24598558532753,14.025314344208672,24.999304896572585,0,inf,0.0,1,0.8256525017994225,0.7698937079926107,0.5319383941138367,913.4047415000001,2.96066326170709,0.5319383941138367,-2.96066326170709,1
PE_002,productivity_energy,37,0.9999997995463137,0.35000003095683996,1.8768974843958293,47.32960596760675,14.121930412736786,24.999830447054794,0,0.027611428400275456,0.0,1,0.8238377661296655,0.7750917887133482,0.5336031750397492,915.6871812252209,2.961747134507719,0.5336031750397492,-2.961747134507719,1
PE_003,productivity_energy,28,0.9999971482340914,0.35000420395398724,1.8902107265096966,47.53456415364192,13.891242566478338,24.99940089481106,0,0.029277751119889308,0.0,1,0.8262556886875658,0.775433638375771,0.5353585259078372,918.243014683381,2.962957633237314,0.5353585259078372,-2.962957633237314,1
PE_004,productivity_energy,125,0.9999991470331702,0.35000005467808837,1.8934487562816211,48.661347035612394,13.904532058210613,24.99745145040289,0,0.017630305520393807,0.0,1,0.8247235874700958,0.780428953525694,0.5370351926530701,920.6899518097815,2.964113403391109,0.5370351926530701,-2.964113403391109,1
PE_005,productivity_energy,133,0.9999999711803933,0.3500000958094687,1.889511509567746,49.55856624938265,13.334127400492616,24.99981145034375,0,0.022621397862369275,0.0,1,0.82571159253748,0.7828086226794321,0.5384975311659228,923.0332033660031,2.9652173237553527,0.5384975311659228,-2.9652173237553527,1
PE_006,productivity_energy,66,0.9999999456488218,0.350000007243707,1.9045512303114482,49.56381470199526,13.569978918865143,24.743972814324582,0,0.022853988556487414,0.0,1,0.8247322126040376,0.7836391491243123,0.5401127868772609,925.3604918311117,2.96631095340246,0.5401127868772609,-2.96631095340246,1
PE_007,productivity_energy,105,0.9999998519515373,0.3500018824406355,1.9019505514658173,49.18861539242377,12.99932116388544,24.073144348154777,0,0.019223467394885667,0.0,1,0.8238253220071777,0.7811072965664188,0.5416688562614729,927.7577097156894,2.9674345720459554,0.5416688562614729,-2.9674345720459554,1
PE_008,productivity_energy,87,0.9999999859384517,0.3500000021511917,1.9002380844212585,50.5798100417239,13.029724908169737,23.960021837495862,0,0.021174755636427574,0.0,1,0.8204001671945937,0.7871178639455287,0.5431801652969591,929.9066235613417,2.968439341125939,0.5431801652969591,-2.968439341125939,1
PE_009,productivity_energy,78,0.9999971643854284,0.35000000543684595,1.899868075074663,50.46808821222876,12.063351260317756,23.672550486165953,0,0.0321633084819779,0.0,1,0.8238549473037537,0.7845576210796225,0.5449378771863831,932.1707520621113,2.9694954723175457,0.5449378771863831,-2.9694954723175457,1
PE_010,productivity_energy,110,0.9999998064038181,0.35000298604745633,1.7753694643711915,54.3612518661852,5.039156069431538,22.62166495495328,0,0.024911278436085725,0.0,1,0.8329770241029383,0.7854260680567313,0.5470699415935656,933.7234907654429,2.9702182849945764,0.5470699415935656,-2.9702182849945764,1
PE_011,productivity_energy,128,0.9999987596865012,0.3500006720557998,1.7938082582814905,54.725651841950466,5.030439059903387,22.505659512058966,0,0.017076875989350912,0.0,1,0.8346115987645327,0.7870315490547889,0.5496350793017843,934.9668800574732,2.970796226847875,0.5496350793017843,-2.970796226847875,1
